Keyword,Competition,Global Monthly Searches,Google Search Network,Local Monthly Searches,Approximate CPC ($),Ad Share,Search Share,Extracted From Webpage,Jun-11,May-11,Apr-11,Mar-11,Feb-11,Jan-11,Dec-10,Nov-10,Oct-10,Sep-10,Aug-10,Jul-10
crooks and castles,0.42,90500,-,60500,0.95,-,-,-,60500,49500,49500,60500,60500,60500,74000,60500,60500,60500,49500,49500
dresses to wear to a wedding,0.74,550000,-,246000,0.96,-,-,-,201000,246000,246000,246000,246000,301000,165000,201000,201000,246000,246000,246000
cheap dresses,0.99,1220000,-,673000,0.98,-,-,-,550000,673000,1000000,1220000,1000000,1000000,550000,550000,673000,673000,550000,550000
clubwear,0.51,450000,-,301000,0.33,-,-,-,301000,301000,301000,368000,301000,301000,301000,301000,301000,246000,201000,201000
alice and olivia,0.89,110000,-,90500,1.68,-,-,-,74000,90500,110000,110000,90500,90500,90500,90500,74000,90500,74000,90500
dancewear,0.55,450000,-,201000,0.74,-,-,-,201000,201000,201000,246000,246000,246000,201000,201000,246000,246000,246000,165000
badgley mischka,0.92,135000,-,110000,1,-,-,-,110000,135000,110000,135000,135000,135000,90500,90500,74000,74000,74000,74000
5.11,0.61,301000,-,110000,1.63,-,-,-,110000,135000,110000,165000,135000,135000,135000,110000,110000,110000,110000,90500
lily pulitzer,0.66,49500,-,49500,0.44,-,-,-,-,90500,90500,90500,60500,49500,22200,22200,18100,22200,27100,27100
joseph a banks,0.17,90500,-,90500,0.18,-,-,-,90500,74000,90500,74000,74000,90500,165000,110000,74000,60500,49500,49500
plus size wedding dresses,0.96,135000,-,90500,0.98,-,-,-,90500,90500,90500,110000,90500,135000,60500,74000,90500,74000,90500,90500
sweater dresses,0.82,110000,-,110000,1.43,-,-,-,14800,18100,18100,40500,74000,135000,301000,301000,201000,90500,33100,18100
kimono,0.45,1000000,-,246000,0.72,-,-,-,201000,201000,201000,246000,246000,246000,201000,201000,246000,201000,201000,201000
mother of the groom dresses,1,135000,-,90500,0.89,-,-,-,90500,90500,110000,135000,135000,135000,40500,60500,60500,60500,74000,74000
rompers,0.62,301000,-,201000,0.74,-,-,-,301000,301000,246000,246000,201000,165000,90500,90500,135000,135000,201000,246000
just my size,0.77,49500,-,49500,1.2,-,-,-,49500,49500,49500,60500,40500,49500,40500,49500,49500,40500,40500,40500
shop bop,0.22,368000,-,201000,0.2,-,-,-,201000,201000,201000,246000,201000,201000,201000,201000,201000,165000,165000,165000
soccer jerseys,0.83,368000,-,246000,0.83,-,-,-,246000,201000,165000,246000,201000,201000,246000,246000,201000,201000,201000,368000
mens suits,0.81,823000,-,368000,1.67,-,-,-,-,368000,368000,450000,450000,450000,450000,450000,368000,368000,368000,368000
pea in the pod,0.31,301000,-,246000,0.25,-,-,-,246000,301000,301000,301000,301000,368000,301000,246000,246000,246000,201000,201000
trina turk,0.95,60500,-,60500,1.43,-,-,-,74000,90500,74000,74000,60500,60500,33100,33100,33100,40500,49500,60500
bathing suits for women,0.98,301000,-,246000,1.43,-,-,-,-,368000,301000,368000,301000,246000,110000,110000,110000,135000,165000,301000
cute dresses,0.76,301000,-,246000,1.02,-,-,-,201000,246000,301000,301000,301000,301000,201000,201000,201000,201000,201000,201000
halloween store,0.32,301000,-,246000,0.51,-,-,-,22200,18100,18100,22200,22200,22200,22200,49500,1830000,550000,110000,33100
lady gaga costume,0.1,450000,-,301000,0.36,-,-,-,110000,90500,60500,90500,246000,110000,90500,110000,673000,1500000,110000,60500
letterman jackets,0.58,246000,-,165000,0.61,-,-,-,90500,110000,110000,165000,201000,246000,246000,246000,201000,135000,90500,60500
swimsuits for women,1,301000,-,201000,1.47,-,-,-,301000,246000,201000,246000,246000,201000,110000,90500,90500,110000,135000,246000
koi scrubs,1,33100,-,33100,1.36,-,-,-,33100,33100,33100,40500,40500,40500,18100,22200,27100,33100,33100,27100
couples halloween costumes,0.35,135000,-,110000,0.31,-,-,-,9900,5400,4400,5400,8100,9900,8100,14800,823000,301000,60500,18100
van heusen,0.46,246000,-,90500,0.75,-,-,-,90500,90500,90500,90500,74000,90500,110000,110000,90500,74000,74000,60500
hudson jeans,1,60500,-,40500,1.4,-,-,-,33100,40500,40500,49500,49500,40500,49500,49500,40500,40500,33100,33100
busted tees,0.57,40500,-,27100,0.28,-,-,-,27100,27100,27100,33100,27100,27100,40500,33100,27100,27100,27100,27100
kids clothes,0.81,1220000,-,673000,1.05,-,-,-,450000,450000,550000,823000,823000,673000,673000,823000,673000,673000,673000,550000
peacoat,0.59,301000,-,246000,1.19,-,-,-,-,40500,49500,110000,201000,368000,823000,550000,301000,165000,110000,74000
tony bowls,0.42,110000,-,60500,0.48,-,-,-,33100,60500,110000,165000,135000,135000,40500,33100,33100,33100,22200,18100
cheap scrubs,1,60500,-,49500,1.33,-,-,-,49500,49500,49500,60500,60500,60500,40500,49500,60500,60500,60500,49500
kids halloween costumes,0.69,165000,-,135000,0.59,-,-,-,18100,9900,8100,12100,14800,14800,14800,27100,673000,550000,165000,40500
trench coat,0.77,450000,-,246000,1.22,-,-,-,110000,165000,246000,301000,246000,246000,301000,301000,368000,246000,165000,135000
special occasion dresses,1,135000,-,90500,1.14,-,-,-,74000,74000,90500,110000,110000,110000,49500,74000,74000,90500,90500,74000
cargo pants,0.94,301000,-,165000,1.38,-,-,-,165000,165000,165000,201000,201000,201000,201000,201000,201000,165000,165000,135000
not your daughters jeans,1,74000,-,40500,1.99,-,-,-,33100,40500,40500,49500,49500,49500,49500,49500,49500,40500,33100,27100
leg warmers,0.59,201000,-,135000,0.62,-,-,-,60500,60500,74000,110000,135000,165000,246000,201000,246000,135000,74000,60500
baby halloween costumes,0.64,74000,-,60500,0.57,-,-,-,12100,6600,5400,8100,6600,6600,5400,12100,246000,246000,110000,33100
leather jacket,0.73,1500000,-,823000,1.15,-,-,-,368000,450000,550000,823000,823000,1000000,1500000,1220000,1000000,823000,550000,450000
famous stars and straps,0.3,110000,-,60500,0.68,-,-,-,40500,49500,49500,49500,49500,49500,60500,60500,60500,60500,60500,60500
guy harvey,0.62,60500,-,49500,0.62,-,-,-,60500,49500,49500,49500,40500,40500,74000,60500,49500,49500,49500,60500
pencil skirt,0.8,165000,-,90500,1.12,-,-,-,90500,90500,90500,110000,90500,90500,90500,90500,110000,90500,90500,74000
nanette lepore,0.92,60500,-,49500,1.85,-,-,-,49500,60500,49500,49500,49500,49500,49500,49500,49500,49500,40500,40500
wonder woman costume,0.54,74000,-,49500,0.42,-,-,-,22200,22200,33100,74000,14800,22200,22200,22200,201000,90500,40500,60500
ballet shoes,0.68,301000,-,110000,0.94,-,-,-,110000,110000,110000,135000,110000,135000,110000,110000,135000,135000,110000,90500
5.11 tactical,0.8,74000,-,49500,2.06,-,-,-,40500,40500,40500,60500,49500,40500,49500,49500,49500,49500,49500,40500
mud pie,0.46,135000,-,90500,0.35,-,-,-,90500,90500,90500,110000,90500,90500,90500,110000,90500,74000,74000,74000
capezio,0.63,165000,-,90500,0.78,-,-,-,74000,74000,74000,90500,90500,110000,74000,74000,90500,110000,90500,74000
maternity swimwear,1,74000,-,49500,1.14,-,-,-,90500,110000,74000,74000,60500,49500,22200,18100,14800,14800,22200,40500
elizabeth and james,0.7,110000,-,74000,2.04,-,-,-,74000,74000,74000,110000,74000,90500,74000,90500,74000,74000,74000,60500
urban clothing,0.7,201000,-,135000,0.89,-,-,-,90500,90500,110000,135000,135000,135000,135000,135000,135000,135000,135000,110000
dickies scrubs,1,40500,-,40500,1.93,-,-,-,27100,27100,27100,40500,40500,40500,33100,33100,40500,40500,49500,40500
cherokee nc,0.34,110000,-,110000,1.06,-,-,-,135000,110000,90500,110000,90500,90500,74000,74000,110000,110000,135000,135000
plus size halloween costumes,0.85,60500,-,49500,0.55,-,-,-,-,2400,1900,2900,5400,18100,22200,22200,301000,165000,33100,9900
alice in wonderland costumes,0.69,90500,-,60500,0.45,-,-,-,12100,12100,12100,18100,18100,22200,18100,27100,301000,165000,60500,33100
jackets,0.68,13600000,-,6120000,1.25,-,-,-,3350000,4090000,4090000,6120000,7480000,9140000,11100000,11100000,7480000,6120000,5000000,4090000
steampunk clothing,0.7,49500,-,33100,0.26,-,-,-,27100,33100,27100,33100,33100,33100,27100,33100,49500,33100,27100,22200
plus size prom dresses,0.99,90500,-,74000,1.03,-,-,-,40500,74000,135000,165000,110000,110000,40500,40500,49500,60500,40500,33100
nursing scrubs,0.98,135000,-,110000,1.72,-,-,-,90500,90500,90500,110000,110000,135000,90500,90500,110000,110000,110000,110000
swimsuit,0.4,1500000,-,1000000,1.05,-,-,-,-,-,1000000,1220000,1500000,823000,550000,550000,550000,550000,823000,1000000
baby shoes,0.77,368000,-,201000,0.92,-,-,-,165000,165000,201000,246000,246000,246000,201000,246000,246000,201000,201000,165000
pea coat,0.68,368000,-,301000,1.26,-,-,-,49500,49500,60500,135000,246000,450000,1000000,823000,368000,246000,165000,90500
wrangler jeans,0.96,165000,-,74000,1.13,-,-,-,49500,60500,60500,74000,74000,74000,110000,110000,90500,60500,60500,49500
ball gowns,0.73,450000,-,246000,0.97,-,-,-,165000,165000,201000,301000,301000,368000,201000,246000,301000,246000,201000,165000
cashmere,0.34,1220000,-,550000,1.62,-,-,-,368000,368000,368000,450000,550000,673000,1220000,823000,550000,450000,368000,301000
cocktail dress,1,823000,-,450000,1.1,-,-,-,368000,450000,550000,673000,550000,550000,450000,550000,450000,550000,368000,368000
short wedding dresses,0.84,90500,-,60500,0.93,-,-,-,60500,60500,60500,74000,60500,90500,40500,40500,49500,49500,49500,49500
